area,station,amedas_url
宗谷地方,稚内,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=11&block_no=47401&year=&month=&day=&view=
宗谷地方,沓形,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=11&block_no=0002&year=&month=&day=&view=
宗谷地方,浜頓別,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=11&block_no=0003&year=&month=&day=&view=
宗谷地方,北見枝幸,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=11&block_no=47402&year=&month=&day=&view=
宗谷地方,歌登,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=11&block_no=0005&year=&month=&day=&view=
宗谷地方,中頓別,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=11&block_no=1051&year=&month=&day=&view=
宗谷地方,豊富,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=11&block_no=1054&year=&month=&day=&view=
宗谷地方,沼川,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=11&block_no=1203&year=&month=&day=&view=
宗谷地方,船泊,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=11&block_no=1207&year=&month=&day=&view=
宗谷地方,宗谷岬,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=11&block_no=1284&year=&month=&day=&view=
宗谷地方,浜鬼志別,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=11&block_no=1285&year=&month=&day=&view=
宗谷地方,本泊,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=11&block_no=1512&year=&month=&day=&view=
宗谷地方,声問,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=11&block_no=1528&year=&month=&day=&view=
宗谷地方,礼文,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=11&block_no=1546&year=&month=&day=&view=
宗谷地方,幌泊,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=11&block_no=1593&year=&month=&day=&view=
宗谷地方,宗谷地方全地点,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=11&block_no=00&year=&month=&day=&view=
宗谷地方,留萌地方,https://www.data.jma.go.jp/obd/stats/etrn/prefecture.php?prec_no=13&block_no=&year=&month=&day=&view=
宗谷地方,上川地方,https://www.data.jma.go.jp/obd/stats/etrn/prefecture.php?prec_no=12&block_no=&year=&month=&day=&view=
宗谷地方,網走・北見・紋別地方,https://www.data.jma.go.jp/obd/stats/etrn/prefecture.php?prec_no=17&block_no=&year=&month=&day=&view=
宗谷地方,幌延,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=11&block_no=1573&year=&month=&day=&view=
宗谷地方,礼文上泊埼,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=11&block_no=1656&year=&month=&day=&view=
上川地方,美深,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=0006&year=&month=&day=&view=
上川地方,ピヤシリ山,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=0007&year=&month=&day=&view=
上川地方,名寄,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=0008&year=&month=&day=&view=
上川地方,西風連,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=0009&year=&month=&day=&view=
上川地方,下川,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=0010&year=&month=&day=&view=
上川地方,士別,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=0011&year=&month=&day=&view=
上川地方,犬牛別峠,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=0012&year=&month=&day=&view=
上川地方,雄鷹峰,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=0013&year=&month=&day=&view=
上川地方,蓬莱山,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=0014&year=&month=&day=&view=
上川地方,上川,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=0015&year=&month=&day=&view=
上川地方,旭川,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=47407&year=&month=&day=&view=
上川地方,瑞穂,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=0017&year=&month=&day=&view=
上川地方,終沢,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=0018&year=&month=&day=&view=
上川地方,旭岳,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=0019&year=&month=&day=&view=
上川地方,白金,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=0020&year=&month=&day=&view=
上川地方,富良野,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=0021&year=&month=&day=&view=
上川地方,前富良野岳,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=0022&year=&month=&day=&view=
上川地方,前時雨山,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=0023&year=&month=&day=&view=
上川地方,朝日,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=1047&year=&month=&day=&view=
上川地方,比布,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=1048&year=&month=&day=&view=
上川地方,層雲峡,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=1049&year=&month=&day=&view=
上川地方,美瑛,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=1052&year=&month=&day=&view=
上川地方,和寒,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=1055&year=&month=&day=&view=
上川地方,東川,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=1184&year=&month=&day=&view=
上川地方,志比内,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=1185&year=&month=&day=&view=
上川地方,幾寅,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=1188&year=&month=&day=&view=
上川地方,占冠,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=1189&year=&month=&day=&view=
上川地方,上富良野,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=1190&year=&month=&day=&view=
上川地方,江丹別,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=1191&year=&month=&day=&view=
上川地方,音威子府,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=1197&year=&month=&day=&view=
上川地方,中川,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=1201&year=&month=&day=&view=
上川地方,麓郷,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=1280&year=&month=&day=&view=
上川地方,東神楽,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=1458&year=&month=&day=&view=
上川地方,小車,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=1570&year=&month=&day=&view=
上川地方,剣淵,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=1572&year=&month=&day=&view=
上川地方,金山,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=1574&year=&month=&day=&view=
上川地方,宗谷地方,https://www.data.jma.go.jp/obd/stats/etrn/prefecture.php?prec_no=11&block_no=&year=&month=&day=&view=
上川地方,留萌地方,https://www.data.jma.go.jp/obd/stats/etrn/prefecture.php?prec_no=13&block_no=&year=&month=&day=&view=
上川地方,空知地方,https://www.data.jma.go.jp/obd/stats/etrn/prefecture.php?prec_no=15&block_no=&year=&month=&day=&view=
上川地方,網走・北見・紋別地方,https://www.data.jma.go.jp/obd/stats/etrn/prefecture.php?prec_no=17&block_no=&year=&month=&day=&view=
上川地方,十勝地方,https://www.data.jma.go.jp/obd/stats/etrn/prefecture.php?prec_no=20&block_no=&year=&month=&day=&view=
上川地方,胆振地方,https://www.data.jma.go.jp/obd/stats/etrn/prefecture.php?prec_no=21&block_no=&year=&month=&day=&view=
上川地方,日高地方,https://www.data.jma.go.jp/obd/stats/etrn/prefecture.php?prec_no=22&block_no=&year=&month=&day=&view=
上川地方,上川地方全地点,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=00&year=&month=&day=&view=
上川地方,幌加内,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=1053&year=&month=&day=&view=
上川地方,朱鞠内,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=12&block_no=1279&year=&month=&day=&view=
留萌地方,天塩,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=13&block_no=0024&year=&month=&day=&view=
留萌地方,遠別,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=13&block_no=0025&year=&month=&day=&view=
留萌地方,羽幌,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=13&block_no=47404&year=&month=&day=&view=
留萌地方,留萌,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=13&block_no=47406&year=&month=&day=&view=
留萌地方,増毛,https://www.data.jma.go.jp/obd/stats/etrn/index.php?prec_no=13&block_no=0028&year=&month=&day=&view=
